Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","242","Fiji","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","4680.29","A","Official figure",""
"TCL","Crops and livestock products","242","Fiji","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","7983","A","Official figure",""
"TCL","Crops and livestock products","242","Fiji","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","287.09","A","Official figure",""
"TCL","Crops and livestock products","242","Fiji","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","996","A","Official figure",""
"TCL","Crops and livestock products","246","Finland","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","4823.08","A","Official figure",""
"TCL","Crops and livestock products","246","Finland","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","19362","A","Official figure",""
"TCL","Crops and livestock products","246","Finland","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","6130.5","A","Official figure",""
"TCL","Crops and livestock products","246","Finland","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","9852","A","Official figure",""
"TCL","Crops and livestock products","250","France","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","478527.55","A","Official figure",""
"TCL","Crops and livestock products","250","France","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","1582788","A","Official figure",""
"TCL","Crops and livestock products","250","France","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","250238.3","A","Official figure",""
"TCL","Crops and livestock products","250","France","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","538369","A","Official figure",""
"TCL","Crops and livestock products","258","French Polynesia","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","16367.45","A","Official figure",""
"TCL","Crops and livestock products","258","French Polynesia","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","36096","A","Official figure",""
"TCL","Crops and livestock products","258","French Polynesia","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","3.2","A","Official figure",""
"TCL","Crops and livestock products","258","French Polynesia","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","8","A","Official figure",""
"TCL","Crops and livestock products","266","Gabon","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","78071.39","A","Official figure",""
"TCL","Crops and livestock products","266","Gabon","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","104531","A","Official figure",""
"TCL","Crops and livestock products","266","Gabon","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","2.34","A","Official figure",""
"TCL","Crops and livestock products","266","Gabon","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","8","A","Official figure",""
"TCL","Crops and livestock products","270","Gambia","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","37233","A","Official figure",""
"TCL","Crops and livestock products","270","Gambia","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","11459","A","Official figure",""
"TCL","Crops and livestock products","268","Georgia","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","62880.31","A","Official figure",""
"TCL","Crops and livestock products","268","Georgia","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","93169","A","Official figure",""
"TCL","Crops and livestock products","268","Georgia","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","19171.55","A","Official figure",""
"TCL","Crops and livestock products","268","Georgia","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","28756","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5610","Import quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","494001.7","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5622","Import value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","1524674","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5910","Export quantity","21121","Meat of chickens, fresh or chilled","2022","2022","t","323859.35","A","Official figure",""
"TCL","Crops and livestock products","276","Germany","5922","Export value","21121","Meat of chickens, fresh or chilled","2022","2022","1000 USD","799388","A","Official figure",""
